layer,name,value,unit,source,page_or_url,status,rationale,source_line,source_sha256
paper_reference,upstream_length_m,1000,m,Cai2024,PDF p4 Fig.4 and text (l1+l2),paper_explicit,Published reference; does not grant controller access to global state.,,
paper_reference,downstream_length_m,200,m,Cai2024,PDF p4 Fig.4 and text (l3),paper_explicit,Published reference; does not grant controller access to global state.,,
paper_reference,upstream_lanes,3,lane,Cai2024,PDF p3-4 Fig.4,paper_explicit,Published reference; does not grant controller access to global state.,,
paper_reference,downstream_lanes,2,lane,Cai2024,PDF p3-4 Fig.4,paper_explicit,Published reference; does not grant controller access to global state.,,
paper_reference,lane_drop_side,"""left""",category,Cai2024,PDF p4 Fig.4; eastbound upper lane ends,paper_figure_interpretation,Published reference; does not grant controller access to global state.,,
paper_reference,gap_table_m,15,m,Cai2024,PDF p3 Table I; DOI 10.1109/IV55156.2024.10588701,paper_explicit,"Table wording safe one-lane following gap; reference-point semantics supplemented by modified source, not equated to net gap.",,
paper_reference,formation_switch_period_s,5,s,Cai2024,PDF p3 Table I; DOI 10.1109/IV55156.2024.10588701,paper_explicit,"Structure switching period, never numerical integration dt.",,
paper_reference,desired_speed_mps,28.8,m/s,Cai2024,PDF p3 Table I; DOI 10.1109/IV55156.2024.10588701,paper_explicit,Published reference; does not grant controller access to global state.,,
paper_reference,min_speed_mps,0,m/s,Cai2024,PDF p3 Table I; DOI 10.1109/IV55156.2024.10588701,paper_explicit,Published reference; does not grant controller access to global state.,,
paper_reference,max_speed_mps,33.3,m/s,Cai2024,PDF p3 Table I; DOI 10.1109/IV55156.2024.10588701,paper_explicit,Published reference; does not grant controller access to global state.,,
paper_reference,min_accel_mps2,-10,m/s^2,Cai2024,PDF p3 Table I; DOI 10.1109/IV55156.2024.10588701,paper_explicit,Published reference; does not grant controller access to global state.,,
paper_reference,max_accel_mps2,5,m/s^2,Cai2024,PDF p3 Table I; DOI 10.1109/IV55156.2024.10588701,paper_explicit,Published reference; does not grant controller access to global state.,,
paper_reference,steering_bound_deg,40,deg,Cai2024,PDF p3 Table I; DOI 10.1109/IV55156.2024.10588701,paper_explicit,Symmetric plus/minus bound; must also respect speed-dependent tire/acceleration constraints.,,
paper_reference,flow_levels_per_lane_hour,"[1250, 1500, 1750, 2000]",veh/(lane*h),Cai2024,PDF p4 text; p5 Fig.5,paper_explicit,Published reference; does not grant controller access to global state.,,
paper_reference,cav_penetrations,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]",fraction,Cai2024,PDF p4 text,paper_explicit,CAV MPR in paper; NOA adoption in the new study has different semantics.,,
paper_reference,paper_matlab,"""2023b""",version,Cai2024,PDF p3 Table I; DOI 10.1109/IV55156.2024.10588701,paper_explicit,Published reference; does not grant controller access to global state.,,
paper_reference,paper_sumo,"""0.32.0""",version,Cai2024,PDF p3 Table I; DOI 10.1109/IV55156.2024.10588701,paper_explicit,Published reference; does not grant controller access to global state.,,
paper_reference,s1_s2_boundary,"""not fixed""",category,Cai2024,PDF p4 text,paper_explicit,Do not impose the modified-source x=640 m as a paper setting or controller input.,,
no_comm_main,lane_width_m,3.3,m,D:/matlab_huipu_2000/mainmain.m,D:/matlab_huipu_2000/mainmain.m:100,source_explicit_modified,Planning width adopted explicitly in each new physical lane.,100,9cea997d1df84aa6ad3d6b971b8232296f7043fd3e6d93460547909877857ef0
